,prim.1,prim.2,prim.3,prim.4,prim.5,prim.6,prim.7,mono.1,mono.2,mono.3,mono.4,mono.5
SLC27A5,130,90,68,137,114,150,88,37,29,45,39,57
SLC2A6,27,110,121,174,63,42,192,183,255,449,472,743
SLC35F2,625,142,462,613,288,512,494,192,170,220,124,124
SLC36A1,138,369,118,731,296,298,208,854,1073,836,1152,591
SLC36A4,284,135,191,93,309,292,138,1871,772,808,809,361
SLC37A2,28,34,10,6,14,30,7,1033,699,1132,1939,2059
SLC38A10,1869,2295,677,841,1052,1908,1993,2100,1801,3661,2917,3959
SLC39A1,965,1307,983,1348,1198,1558,1305,2591,2144,1743,1273,2091
SLC39A10,279,574,679,648,687,409,297,474,310,236,306,287
SLC43A2,78,612,190,371,324,134,426,2676,2770,2522,2441,3391
SLC45A3,1082,1235,920,2559,1497,1211,2473,506,808,146,244,83
SLC4A1AP,488,382,301,389,414,450,487,650,481,519,544,512
SLC6A12,0,1,1,3,3,4,1,106,125,92,41,202
SLC6A6,1196,913,453,493,739,784,604,1902,1842,1378,1551,2070
SLC7A1,1244,907,967,891,608,1032,731,324,282,465,554,186
SLC7A6,1428,1085,1088,716,1597,1671,1378,839,998,350,558,633
SLC9A7,1119,2453,1383,845,2352,1398,1420,282,485,117,143,200
SLC9B2,483,241,758,415,337,493,643,82,143,104,139,53
SLFN5,21,70,18,63,83,110,135,330,304,187,276,60
SMAP2,1560,3029,2172,3989,2333,7234,3697,19994,10963,7117,4068,10962
SMARCD1,1230,1055,1224,1013,803,896,1384,642,460,944,1008,778
SMCO4,118,61,21,153,67,30,10,1243,987,801,669,445
SMIM13,150,69,142,213,93,176,107,417,402,214,178,382
SMIM14,4,65,173,620,152,405,224,1733,1189,626,619,806
SMN1,75,66,89,107,76,63,48,61,87,44,51,42
SMU1,823,704,698,985,736,1064,685,980,1034,915,870,1031
SMYD3,1092,3850,2253,3235,3868,2473,1526,194,422,159,476,327
SNAPC1,210,123,239,159,145,129,122,125,143,65,96,108
SNAPIN,517,517,675,638,545,808,594,1029,806,793,609,757
SNF8,496,599,393,608,548,699,543,972,839,1076,1191,1365
SNTB1,793,1877,1394,586,1969,1495,813,2820,3320,2513,2163,1584
SNTB2,22,2,14,56,1,1,2,151,86,72,63,83
