source,target,score
ATF1,RHEB,0.0010112889521983
ATF1,SETX,0.0010504203576024
ATF1,SLC38A10,0.0019363872577417
ATF1,SMU1,0.0104904933713677
ATF1,WBP1L,0.0020541404483547
ATF1,ZCCHC6,0.0011073097540703
ATF1,AHCYL1,0.0034378334737672
ATF1,ARF5,0.0012892732278761
ATF1,ATP6V1A,0.0051360630845688
ATF1,FAM49B,0.0010804316537793
ATF1,IKZF1,0.0099087913685754
ATF1,PNPO,0.0051150032399706
ATF1,SUV39H2,0.0010221506350738
ATF1,ZNF143,0.0034451394295381
ATF1,HCCS,0.0023448195501218
ATF1,MOSPD2,0.0028135069338312
ATF1,SLC26A6,0.0010136661275506
ATF1,SMIM13,0.004700926939442
ATF1,ZCCHC7,0.0014767213909439
ATF1,ZKSCAN3,0.0012549602048111
ATF3,DCAF12,0.0020758995768181
ATF3,TNFAIP8L2,0.0010408852475049
ATF3,CD93,0.0017598345230407
ATF3,SH3PXD2A,0.0024033177652472
ATF3,STK19,0.0023218399888753
ATF4,CCNYL1,0.0024379841131591
ATF4,ATAT1,0.0015869666701112
ATF4,CNDP2,0.0051664192490616
ATF4,DCTN3,0.0022233717842779
ATF4,ENTPD1,0.0010892926444185
ATF4,GAS5,0.0023247267510576
ATF4,LCMT1,0.002864408552277
ATF4,MAD2L2,0.0014115030928106
ATF4,RPL26,0.0012994857066866
ATF4,RPL9,0.002007086901284
ATF4,SERF2,0.0014392748870836
ATF4,DCAF12,0.001377633033132
ATF4,FAM120B,0.004145385866529
ATF4,NFIL3,0.0010078375811131
ATF4,STK19,0.0060320744176199
ATF4,ARNT,0.0010494028558239
ATF4,MYL12B,0.0011703444372596
ATF5,ELOF1,0.0038050523024012
ATF5,POP4,0.003434086033599
ATF5,C11orf24,0.0010427416180204
ATF5,EGR3,0.0012926539265715
ATF5,MYL6,0.0025510780192685
ATF5,SPI1,0.0011772658582429
ATF5,VEGFA,0.0010835705419446
ATF5,CHMP2A,0.0010004284731185
ATF6,AHCYL1,0.0147460197124923
ATF6,VTI1B,0.0184144286209189
ATF6,AP2B1,0.0142095160234052
ATF6,MAGT1,0.0212453708293589
